project_name,wb_region,country_/_economy,country_/_economy_lending_group,country_/_economy_fcs_status,country_/_economy_fcs_lending_group,practice_group,global_practice,agreement_type,lending_instrument_type,approval_fy,final_closing_fy,evaluation_type,outcome,quality_at_entry,quality_of_supervision,bank_performance,m&e_quality,evaluation_fy,CountryCode,GDP_USD,GDP_per_capita_USD,GDP_growth_pct,Inflation_CPI_pct,Unemployment_pct,Govt_debt_pct_GDP,Current_account_pct_GDP,Population_total
Federated States of Micronesia Maritime Investment Project,East Asia and Pacific,"Micronesia, Federated States of",IDA,FCS,IDA FCS,Infrastructure,Transport,IDA,IPF,2019,2025.0,ICRR,Highly Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,2026,,,,,,,,,
Nigeria For Women Project,Western and Central Africa,Nigeria,Blend,FCS,Blend FCS,Sustainable Development,Social Sustainability and Inclusion,IDA,IPF,2018,2024.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2026,NGA,421739251509.08,2057.87944554011,1.92275734200651,12.0951065173432,5.067,,1.72693303668361,204938755.0
Mauritania Third DPO 2021,Western and Central Africa,Mauritania,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2023,2023.0,ICRR,Moderately Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2025,MRT,10651709314.1644,2120.82318421747,6.50718719858594,4.95305034506869,10.446,,-9.07371600815091,5022441.0
RWANDA THIRD PROGRAMMATIC HUMAN CAPITAL FOR INCLUSIVE GROWTH  DEVELOPMENT POLICY FINANCING,Eastern and Southern Africa,Rwanda,IDA,non-FCS,IDA non-FCS,Human Development,Social Protection & Jobs,IDA,DPF,2023,2023.0,ICRR,Highly Satisfactory,Not Evaluated,Not Evaluated,Highly Satisfactory,Not Evaluated,2025,RWA,14331722700.3249,1027.03446804432,8.24990302014558,19.789546746467,12.352,,-11.5388809910375,13954471.0
Sudan Emergency Safety Nets Project,Eastern and Southern Africa,Sudan,IDA,FCS,IDA FCS,Human Development,Social Protection & Jobs,RETF,IPF,2023,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,SDN,39898289820.7951,797.283447265625,-29.4332718325149,,,,,50042791.0
Third Angola Growth and Inclusion Development Policy Financing,Eastern and Southern Africa,Angola,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2022,2023.0,ICRR,Moderately Unsatisfactory,Not Evaluated,Not Evaluated,Moderately Unsatisfactory,Not Evaluated,2025,AGO,104399746853.401,2929.69445467272,3.04472652391918,21.3552901320822,14.602,,11.2671532788355,35635029.0
Colombia: Social and Economic Integration of Migrants DPF,Latin America and Caribbean,Colombia,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Social Sustainability and Inclusion,IBRD,DPF,2022,2024.0,ICRR,Satisfactory,Not Evaluated,Not Evaluated,Highly Satisfactory,Not Evaluated,2025,COL,345632492851.448,6680.44506854481,7.32827729427979,10.1772313546166,10.547,70.2698217564944,-6.04071964345084,51737944.0
Dominica Second COVID-19 Response and Recovery DPC,Latin America and Caribbean,Dominica,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2022,2023.0,ICRR,Moderately Unsatisfactory,Not Evaluated,Not Evaluated,Moderately Satisfactory,Not Evaluated,2025,DMA,623062962.962963,9323.66089490562,10.3968076616121,2.88490226829352,,,-26.2807954727838,66826.0
"The Gambia Second Fiscal Management, Energy and Telecom Reform Development Policy Financing",Western and Central Africa,"Gambia, The",IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2022,2023.0,ICRR,Moderately Satisfactory,Not Evaluated,Not Evaluated,Moderately Satisfactory,Not Evaluated,2025,GMB,2204734527.12734,836.244875582631,5.49299825508946,11.5131198380505,6.076,,-4.09350427303967,2636470.0
Indonesia Fiscal Reform Development Policy Loan,East Asia and Pacific,Indonesia,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2022,2023.0,ICRR,Moderately Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2025,IDN,1319101183380.15,4730.83484836107,5.30719722664799,4.20946463714783,3.462,,1.00182875104005,278830529.0
