project_name,wb_region,country_/_economy,country_/_economy_lending_group,country_/_economy_fcs_status,country_/_economy_fcs_lending_group,practice_group,global_practice,agreement_type,lending_instrument_type,approval_fy,final_closing_fy,evaluation_type,outcome,quality_at_entry,quality_of_supervision,bank_performance,m&e_quality,evaluation_fy
Federated States of Micronesia Maritime Investment Project,East Asia and Pacific,"Micronesia, Federated States of",IDA,FCS,IDA FCS,Infrastructure,Transport,IDA,IPF,2019.0,2025.0,ICRR,Highly Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,2026
Nigeria For Women Project,Western and Central Africa,Nigeria,Blend,FCS,Blend FCS,Sustainable Development,Social Sustainability and Inclusion,IDA,IPF,2018.0,2024.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2026
Mauritania Third DPO 2021,Western and Central Africa,Mauritania,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2023.0,2023.0,ICRR,Moderately Satisfactory,,,Satisfactory,,2025
RWANDA THIRD PROGRAMMATIC HUMAN CAPITAL FOR INCLUSIVE GROWTH  DEVELOPMENT POLICY FINANCING,Eastern and Southern Africa,Rwanda,IDA,non-FCS,IDA non-FCS,Human Development,Social Protection & Jobs,IDA,DPF,2023.0,2023.0,ICRR,Highly Satisfactory,,,Highly Satisfactory,,2025
Sudan Emergency Safety Nets Project,Eastern and Southern Africa,Sudan,IDA,FCS,IDA FCS,Human Development,Social Protection & Jobs,RETF,IPF,2023.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Third Angola Growth and Inclusion Development Policy Financing,Eastern and Southern Africa,Angola,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2022.0,2023.0,ICRR,Moderately Unsatisfactory,,,Moderately Unsatisfactory,,2025
Colombia: Social and Economic Integration of Migrants DPF,Latin America and Caribbean,Colombia,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Social Sustainability and Inclusion,IBRD,DPF,2022.0,2024.0,ICRR,Satisfactory,,,Highly Satisfactory,,2025
Dominica Second COVID-19 Response and Recovery DPC,Latin America and Caribbean,Dominica,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2022.0,2023.0,ICRR,Moderately Unsatisfactory,,,Moderately Satisfactory,,2025
"The Gambia Second Fiscal Management, Energy and Telecom Reform Development Policy Financing",Western and Central Africa,"Gambia, The",IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2022.0,2023.0,ICRR,Moderately Satisfactory,,,Moderately Satisfactory,,2025
Indonesia Fiscal Reform Development Policy Loan,East Asia and Pacific,Indonesia,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2022.0,2023.0,ICRR,Moderately Satisfactory,,,Satisfactory,,2025
